,ProbeID,logFC,AveExpr,t,P.Value,adj.P.Val,B,SYMBOL,diffexpressed
973,200731_s_at,-1.037372315,10.3774502,-5.906099241,1.50E-08,4.90E-07,9.181480135,PTP4A1,DOWN
974,211441_x_at,-1.754500146,7.079687433,-5.904958617,1.51E-08,4.92E-07,9.175820642,CYP3A43,DOWN
975,237849_at,-1.648622598,4.785136497,-5.904125265,1.52E-08,4.94E-07,9.171686233,NA,DOWN
976,202422_s_at,3.402530984,7.422512815,5.903759892,1.52E-08,4.94E-07,9.169873683,ACSL4,UP
977,225285_at,1.764076177,6.294629589,5.903837808,1.52E-08,4.94E-07,9.170260206,BCAT1,UP
978,228069_at,1.608511495,5.187099314,5.902185722,1.53E-08,4.98E-07,9.162065393,MTFR2,UP
979,212226_s_at,-1.160342491,11.11125812,-5.901506903,1.54E-08,5.00E-07,9.158698722,PLPP3,DOWN
980,225203_at,1.273853015,9.085954815,5.901304331,1.54E-08,5.00E-07,9.157694097,PPP1R16A,UP
981,242657_at,-1.076330045,7.706585114,-5.889191603,1.64E-08,5.27E-07,9.097666594,NA,DOWN
982,225573_at,-1.458122898,8.401213253,-5.888578345,1.64E-08,5.29E-07,9.094629736,ACAD11,DOWN
983,225573_at,-1.458122898,8.401213253,-5.888578345,1.64E-08,5.29E-07,9.094629736,NPHP3-ACAD11,DOWN
984,222982_x_at,-1.070631811,11.76133443,-5.885536027,1.67E-08,5.35E-07,9.079567408,SLC38A2,DOWN
985,212639_x_at,1.00971285,12.15695345,5.882770951,1.69E-08,5.41E-07,9.065882396,TUBA1A,UP
986,212639_x_at,1.00971285,12.15695345,5.882770951,1.69E-08,5.41E-07,9.065882396,TUBA1B,UP
987,204639_at,1.202094963,6.361204599,5.874484953,1.77E-08,5.60E-07,9.024899934,ADA,UP
988,212247_at,1.029365489,7.374851867,5.870739997,1.80E-08,5.67E-07,9.006390659,NUP205,UP
989,224299_x_at,-1.99248575,8.809474342,-5.870770547,1.80E-08,5.67E-07,9.006541616,FTCD,DOWN
990,225362_at,1.024797281,6.007230518,5.869945776,1.81E-08,5.68E-07,9.00246632,PABIR2,UP
991,203830_at,1.022754116,5.438783074,5.8694591,1.81E-08,5.69E-07,9.000061778,C17orf75,UP
992,204352_at,1.655664749,6.092818631,5.867032348,1.83E-08,5.74E-07,8.988073899,TRAF5,UP
993,231156_at,-2.528396858,6.012290802,-5.866033796,1.84E-08,5.77E-07,8.98314217,HAO2,DOWN
994,208795_s_at,1.065904716,8.396693421,5.863450366,1.87E-08,5.84E-07,8.970385649,MCM7,UP
995,1553962_s_at,-1.874715302,7.768199813,-5.862745021,1.88E-08,5.85E-07,8.966903464,RHOB,DOWN
996,218251_at,1.33148041,8.413906887,5.860484197,1.90E-08,5.90E-07,8.955744075,MID1IP1,UP
997,222378_at,-1.27384933,4.274304669,-5.85781505,1.92E-08,5.97E-07,8.942573094,NA,DOWN
998,227077_at,1.01063267,6.618659107,5.855992398,1.94E-08,6.01E-07,8.933581579,ZNF286A,UP
999,227077_at,1.01063267,6.618659107,5.855992398,1.94E-08,6.01E-07,8.933581579,ZNF286B,UP
1000,213007_at,1.540657819,5.653695955,5.849624915,2.01E-08,6.17E-07,8.90218486,FANCI,UP
1001,217996_at,-2.165815204,8.732697949,-5.84853753,2.02E-08,6.20E-07,8.896825585,PHLDA1,DOWN
1002,204244_s_at,1.348654321,6.903516527,5.84754137,2.03E-08,6.22E-07,8.891916536,DBF4,UP
1003,210764_s_at,-1.978913824,7.345566282,-5.847277136,2.03E-08,6.22E-07,8.890614493,CCN1,DOWN
1004,216593_s_at,1.266233587,7.243264653,5.847616429,2.03E-08,6.22E-07,8.892286404,PIGC,UP
1005,220755_s_at,1.011455422,9.432670683,5.84777022,2.03E-08,6.22E-07,8.893044252,SNHG32,UP
1006,223381_at,2.17713929,5.577900374,5.847125927,2.03E-08,6.22E-07,8.889869417,NUF2,UP
1007,211922_s_at,-1.393001106,10.33530492,-5.845413976,2.05E-08,6.26E-07,8.881434753,CAT,DOWN
1008,221588_x_at,-1.491985292,10.97750051,-5.845267566,2.05E-08,6.26E-07,8.880713482,ALDH6A1,DOWN
1009,202872_at,1.439474915,7.709994456,5.841340663,2.09E-08,6.38E-07,8.861372794,ATP6V1C1,UP
1010,1558700_s_at,1.160885718,6.175381068,5.834425905,2.17E-08,6.59E-07,8.827338558,ZNF260,UP
1011,229017_s_at,1.102319083,5.36422566,5.83392375,2.17E-08,6.60E-07,8.824868066,DSTYK,UP
1012,224300_x_at,-1.983617593,8.865209477,-5.832222593,2.19E-08,6.66E-07,8.816499865,FTCD,DOWN
1013,202382_s_at,1.041779557,8.357383579,5.830510844,2.21E-08,6.71E-07,8.808081288,GNPDA1,UP
1014,225278_at,1.252555189,9.474362984,5.828780023,2.23E-08,6.77E-07,8.799570679,PRKAB2,UP
1015,204444_at,1.869724285,5.098953391,5.828438207,2.24E-08,6.78E-07,8.797890149,KIF11,UP
1016,240110_at,-1.872424554,8.032123944,-5.828104935,2.24E-08,6.78E-07,8.796251689,HMGCS2,DOWN
1017,201275_at,1.375837012,10.21911454,5.823659302,2.29E-08,6.92E-07,8.774402012,FDPS,UP
1018,204533_at,2.544786276,8.819231001,5.82348012,2.29E-08,6.92E-07,8.773521602,CXCL10,UP
1019,212828_at,1.361702352,6.938275844,5.819040206,2.35E-08,7.06E-07,8.751712207,SYNJ2,UP
1020,227865_at,-1.110282054,7.911466459,-5.817454723,2.37E-08,7.11E-07,8.743926956,IDNK,DOWN
1021,207041_at,-2.253795846,7.924666612,-5.812951322,2.42E-08,7.26E-07,8.721821893,MASP2,DOWN
1022,205531_s_at,-3.158001096,7.491231776,-5.812173971,2.43E-08,7.28E-07,8.718007467,GLS2,DOWN
1023,238619_at,-2.074737204,7.144864513,-5.808315756,2.48E-08,7.40E-07,8.699080686,NA,DOWN
1024,242126_at,-1.769472817,4.094175769,-5.806695543,2.50E-08,7.45E-07,8.691135243,NA,DOWN
1025,226546_at,1.038782827,6.081096142,5.804738999,2.52E-08,7.51E-07,8.681542528,GIHCG,UP
1026,219192_at,1.062701544,7.989697193,5.800086281,2.58E-08,7.67E-07,8.658739931,UBAP2,UP
1027,211729_x_at,1.473573988,8.30226935,5.798500988,2.61E-08,7.72E-07,8.650973482,BLVRA,UP
1028,225516_at,-2.140382187,9.781510997,-5.796181436,2.64E-08,7.80E-07,8.63961255,SLC7A2,DOWN
1029,232065_x_at,1.245643151,6.051538016,5.794137434,2.66E-08,7.86E-07,8.629603889,CENPL,UP
1030,209882_at,1.454003758,6.545764794,5.792981428,2.68E-08,7.90E-07,8.623944491,RIT1,UP
1031,219990_at,1.689947103,5.300340953,5.791501665,2.70E-08,7.95E-07,8.616701259,E2F8,UP
1032,213222_at,2.049650273,8.107695423,5.789059387,2.73E-08,8.04E-07,8.604749507,PLCB1,UP
1033,203337_x_at,1.016135531,5.725044843,5.788747946,2.74E-08,8.05E-07,8.603225667,ITGB1BP1,UP
1034,230795_at,1.809269682,8.421397588,5.788096069,2.75E-08,8.06E-07,8.600036309,NA,UP
1035,1553956_at,1.153068342,5.704680172,5.779231908,2.87E-08,8.37E-07,8.556692866,TMEM237,UP
1036,223253_at,1.949155168,8.318227046,5.777497483,2.90E-08,8.43E-07,8.54821747,EPDR1,UP
1037,213911_s_at,1.23836906,10.61139795,5.77572419,2.93E-08,8.49E-07,8.539553999,H2AZ1,UP
1038,206305_s_at,-2.04390572,9.893591997,-5.774802198,2.94E-08,8.53E-07,8.535050327,C8A,DOWN
1039,226943_at,1.102403875,7.091835628,5.772322097,2.98E-08,8.63E-07,8.522938256,UQCC6,UP
1040,218459_at,1.153562845,7.844068855,5.768309716,3.04E-08,8.78E-07,8.503350781,TOR3A,UP
1041,221139_s_at,-1.839599291,7.86194161,-5.768278296,3.04E-08,8.78E-07,8.503197431,CSAD,DOWN
1042,215363_x_at,-2.100898274,7.473333851,-5.76690857,3.06E-08,8.82E-07,8.496512992,FOLH1,DOWN
1043,215363_x_at,-2.100898274,7.473333851,-5.76690857,3.06E-08,8.82E-07,8.496512992,FOLH1B,DOWN
1044,219588_s_at,1.272431704,5.569847073,5.765511631,3.08E-08,8.88E-07,8.489696907,NCAPG2,UP
1045,218905_at,1.139100131,9.053434503,5.764962467,3.09E-08,8.90E-07,8.487017691,INTS8,UP
1046,224908_s_at,1.009694102,6.691763979,5.763987421,3.11E-08,8.94E-07,8.482261166,TTL,UP
1047,211458_s_at,-1.624277479,9.467596621,-5.761963986,3.14E-08,9.01E-07,8.472392138,GABARAPL3,DOWN
1048,211458_s_at,-1.624277479,9.467596621,-5.761963986,3.14E-08,9.01E-07,8.472392138,GABARAPL1,DOWN
1049,230120_s_at,-2.359427742,7.61790915,-5.761346749,3.15E-08,9.04E-07,8.469382141,PLGLB2,DOWN
1050,230120_s_at,-2.359427742,7.61790915,-5.761346749,3.15E-08,9.04E-07,8.469382141,PLGLB1,DOWN
1051,230120_s_at,-2.359427742,7.61790915,-5.761346749,3.15E-08,9.04E-07,8.469382141,GCC2-AS1,DOWN
1052,220486_x_at,1.176990772,6.784399753,5.760329945,3.16E-08,9.07E-07,8.464424123,TMEM164,UP
1053,231835_at,1.31971912,7.499915122,5.757785731,3.20E-08,9.18E-07,8.452021049,PRXL2B,UP
1054,204103_at,-1.610786465,7.334822703,-5.756001749,3.23E-08,9.25E-07,8.443326428,CCL4,DOWN
1055,202679_at,1.132659232,8.071269562,5.750364305,3.33E-08,9.49E-07,8.415863694,NPC1,UP
1056,205813_s_at,-1.659073925,11.44566111,-5.748263343,3.36E-08,9.57E-07,8.405633768,MAT1A,DOWN
1057,208869_s_at,-1.483304432,7.803057208,-5.747851962,3.37E-08,9.58E-07,8.403630998,GABARAPL1,DOWN
1058,204290_s_at,-1.59028863,10.44203388,-5.747268376,3.38E-08,9.60E-07,8.400790037,ALDH6A1,DOWN
1059,225390_s_at,1.313115605,8.016551333,5.745992868,3.40E-08,9.65E-07,8.394581436,KLF13,UP
1060,236641_at,1.72510706,4.998925172,5.743024486,3.45E-08,9.77E-07,8.380136474,KIF14,UP
1061,214414_x_at,-1.960991264,10.37460119,-5.7428003,3.46E-08,9.77E-07,8.37904574,HBA1,DOWN
1062,214414_x_at,-1.960991264,10.37460119,-5.7428003,3.46E-08,9.77E-07,8.37904574,HBA2,DOWN
1063,205114_s_at,-1.65929665,6.747321295,-5.741138936,3.49E-08,9.84E-07,8.370963621,CCL3,DOWN
1064,205114_s_at,-1.65929665,6.747321295,-5.741138936,3.49E-08,9.84E-07,8.370963621,CCL3L1,DOWN
1065,205114_s_at,-1.65929665,6.747321295,-5.741138936,3.49E-08,9.84E-07,8.370963621,CCL3L3,DOWN
1066,204011_at,-1.110466332,7.172538779,-5.740563314,3.50E-08,9.86E-07,8.368163752,SPRY2,DOWN
1067,202241_at,-1.327075139,11.23198697,-5.738656019,3.53E-08,9.94E-07,8.358887953,TRIB1,DOWN
1068,209541_at,-2.7210734,8.169469897,-5.737717577,3.55E-08,9.99E-07,8.354324807,IGF1,DOWN
1069,205854_at,1.057985783,7.314128879,5.73532859,3.59E-08,1.01E-06,8.342710821,TULP3,UP
1070,208659_at,1.130776754,9.705503588,5.734973836,3.60E-08,1.01E-06,8.340986487,CLIC1,UP
1071,225616_at,-1.177447796,8.052298406,-5.733139082,3.63E-08,1.02E-06,8.332069613,SPRYD4,DOWN
1072,200872_at,1.2851185,11.11808262,5.732792229,3.64E-08,1.02E-06,8.330384138,S100A10,UP
1073,213243_at,1.103959166,7.866145342,5.732843528,3.64E-08,1.02E-06,8.330633415,VPS13B,UP
1074,218308_at,1.147169995,6.658657094,5.731715686,3.66E-08,1.02E-06,8.325153326,TACC3,UP
1075,204170_s_at,1.681131124,9.017881476,5.731420354,3.66E-08,1.02E-06,8.323718461,CKS2,UP
1076,213577_at,1.713738659,8.924230148,5.730764125,3.67E-08,1.03E-06,8.32053037,SQLE,UP
1077,242626_at,-1.850070853,5.208164704,-5.729817223,3.69E-08,1.03E-06,8.315930592,SAMD5,DOWN
