"ProbeID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","diffexpressed"
"207526_s_at",-1.51612447222951,4.126807119,-10.4800194583644,9.86663504478403e-21,1.22465122659271e-17,36.4114033709369,"IL1RL1","DOWN"
"1561886_a_at",-2.64246747468415,4.26926208928283,-10.4090058125874,1.59892621762344e-20,1.89830777224063e-17,35.9412267672891,NA,"DOWN"
"1558489_at",-1.2784755700153,3.18473100143434,-10.3840647543431,1.89396057285735e-20,2.15489309928038e-17,35.776303530453,NA,"DOWN"
"225557_at",-1.9945534585541,7.12713127365152,-10.3860631162969,1.86844475762281e-20,2.15489309928038e-17,35.7895136678355,"CSRNP1","DOWN"
"228323_at",2.55986693943388,7.69901975370707,10.3609140052402,2.21610599266492e-20,2.46996319545733e-17,35.6233179164661,"KNL1","UP"
"205866_at",-4.02563126903716,7.03905071306566,-10.325655666231,2.81453172360956e-20,3.07420042042978e-17,35.3905079377337,"FCN3","DOWN"
"240156_at",-1.43452838861858,4.17944497352525,-10.3225609148083,2.87417794368471e-20,3.07779372624418e-17,35.3700841413245,NA,"DOWN"
"229567_at",-1.25127380607868,4.52731068821212,-10.3107982415018,3.11259639757581e-20,3.269004366554e-17,35.2924724050969,"FITM1","DOWN"
"205819_at",-2.28567183261858,5.79965154379798,-10.2794293996505,3.84914220166185e-20,3.96628685017658e-17,35.0856208257456,"MARCO","DOWN"
"204301_at",-2.76352497109399,5.32784400832828,-10.2763847137508,3.92927727098914e-20,3.97388184445426e-17,35.0655533268552,"KBTBD11","DOWN"
